DESTINO;ORIGEN;CANTIDAD;FOBDOL;FOBPES
USA;AXM;110,11;108082,89;457256555,3
PAN;AXM;21,58;18547;78465123,7
DEU;BOG;576;4475,52;18142684,0
DEU;BOG;84;525;2221070,3
DEU;BOG;30;114;482289,5
DEU;BOG;90;313,5;1326296,2
DEU;BOG;5;30,7;129879,7
DEU;BOG;144;768;3249108,5
DEU;BOG;8;37;156532,6
DEU;BOG;32;33556,12;142239359,3
DEU;BOG;20;3280;13876400,8
DEU;BOG;50;7741,4;32750844,3
DEU;BOG;18;6624;28023560,6
DEU;BOG;25;6200;26229781,0
DEU;BOG;30;4920;20814601,2
DEU;BOG;35;6860;29021984,6
DEU;BOG;20;2560;10830361,6
DEU;BOG;1031;107926,11;456245758,2
DEU;BOG;2;11612,12;48933125,3
DEU;BOG;8960;1612,8;6823127,8
DEU;BOG;140;200771,94;846571856,7
DEU;BOG;4900;882;3715425,0
DEU;BOG;14400;2592;10918800,0
DEU;BOG;10555;1891,9;8006464,0
DEU;BOG;37203;6639,34;28097487,7
DEU;BOG;58832;15773,71;66022338,5
DEU;BOG;2825;452;1912235,7
DEU;BOG;23620;4263,4;17894159,9
DEU;BOG;9;18;76537,6
DEU;BOG;49,5;144,5;614427,0
DEU;BOG;78;195;829157,6
DEU;BOG;20;75;318906,8
DEU;BOG;270,6;1030,5;4381778,7
DEU;BOG;99;367,2;1561367,4
DEU;BOG;81;276,9;1177403,7
DEU;BOG;196,2;1008;4286106,7
DEU;BOG;1770,6;7254;30844660,9
DEU;BOG;29;164;697342,8
DEU;BOG;32,5;121,5;516628,9
DEU;BOG;140;3176,6;13465130,9
DEU;BOG;30;45144,57;190572836,4
DEU;BOG;284,78;98500;417526725,0
DEU;BOG;0,27;61500;260689275,0
DEU;BOG;106196;28408,36;119702134,9
DEU;BOG;10;619,91;2554413,5
DEU;BOG;270;9614,38;39617206,5
DEU;BOG;12;353,54;1456804,0
DEU;BOG;1;60,8;250533,7
DEU;BOG;32;150;637350,0
DEU;BOG;3;120;494474,4
DEU;BOG;1;3710;16274508,6
DEU;BOG;31;2409,64;10154150,7
DEU;BOG;4;327,86;1381592,2
DEU;BOG;27;3172,02;13366797,1
DEU;BOG;8;3407,1;13811565,7
DEU;BOG;24;1519,78;6377093,0
DEU;BOG;2;100;405376,0
DEU;BOG;2;5499,78;22662503,5
DEU;BOG;37600;6812;28848854,2
DEU;BOG;11520;2073,6;8735040,0
DEU;BOG;63680;11503,84;48459926,0
DEU;BOG;4400;836;3552164,0
DEU;BOG;8800;1672;7104328,0
DEU;BOG;5476;930,92;3921500,5
DEU;BOG;16438;3463,8;14591257,5
DEU;BOG;2802;3965,94;16778345,4
DEU;BOG;1;2402,24;9948708,8
DEU;BOG;1;361,98;1499114,8
DEU;BOG;1;2681,95;11107108,2
DEU;BOG;50;434,5;1846499,0
DEU;BOG;300;684,5;2908926,5
DEU;BOG;24480;4892;20786108,0
DEU;BOG;2250;672;2842969,9
DEU;BOG;26256;28491,86;120021960,3
DEU;BOG;23220;3199,57;13508872,5
DEU;BOG;70780;10801,06;45620438,4
DEU;BOG;1800;924,5;3918816,8
DEU;BOG;1550;10122,75;42949604,6
DEU;BOG;0,5;55000;222956800,0
DEU;BOG;2714;3214,64;14101532,7
DEU;BOG;125,21;9440;39906561,6
DEU;BOG;7100;1278;5383575,0
DEU;BOG;41367;7450,06;31383377,8
DEU;BOG;1;639,61;2717702,9
DEU;BOG;246;2081,67;8649213,9
DEU;BOG;7537;41130;174343900,5
DEU;BOG;1300;7800;33063030,0
DEU;BOG;2;1;4238,9
DEU;BOG;180;477;2021931,5
DEU;BOG;3420;18183,8;77078400,6
DEU;BOG;4800;624;2639900,6
DEU;BOG;20;84,7;360152,0
DEU;BOG;25;112,66;481099,4
DEU;BOG;130;489,4;2080932,6
DEU;BOG;26;112,95;480273,6
DEU;BOG;10;4;16927,9
DEU;BOG;13;157,71;670597,1
DEU;BOG;216;808,75;3514385,0
DEU;BOG;70;329,9;1419721,0
DEU;BOG;1125;5884,52;25281881,5
DEU;BOG;17;86,4;367380,6
DEU;BOG;1000;122,49;514645,4
DEU;BOG;319;5782,57;24295641,3
DEU;BOG;253671;1388,11;5812030,5
DEU;BOG;2040;277,44;1169123,8
DEU;BOG;2380;323,68;1363977,8
DEU;BOG;40200;6518,4;27682159,7
DEU;BOG;230280;36884,4;156569128,0
DEU;BOG;180;27;118439,8
DEU;BOG;4760;618,8;2617901,5
DEU;BOG;2380;309,4;1308950,7
DEU;BOG;13320;2131,2;9009413,6
DEU;BOG;91980;13690,8;57890365,7
DEU;BOG;8160;2448;10245904,3
DEU;BOG;8;8800;37301880,0
DEU;BOG;2;2200;9325470,0
DEU;BOG;4856,8;39695;167215187,5
DEU;BOG;834;8,34;35294,6
DEU;BOG;32845;4646,5;18835795,8
DEU;BOG;3381,21;2458783,87;10373020843,0
DEU;BOG;560;19753,22;83595034,4
DEU;BOG;2162,5;63863,88;280149127,8
DEU;BOG;300;883,1;3638919,5
ARM;BOG;60;0,12;494,5
ARM;BOG;448;1468,8;6443126,2
ARM;BOG;800;148;601002,8
ARM;BOG;1540;246,4;1080873,0
ARM;BOG;37690;5653,5;24799982,3
ARM;BOG;10560;3270,4;14256981,8
ARM;BOG;700;126;534095,1
ABW;BOG;2864;977,86;4289539,3
ABW;BOG;2532;866,24;3799900,4
ABW;BOG;1593;464,56;2037866,8
ABW;BOG;25;387,5;1699830,8
ABW;BOG;156;107,34;470864,1
ABW;BOG;161;651,25;2856812,3
ABW;BOG;4325;1384;5855164,2
ABW;BOG;3340;1563,5;6614558,7
ABW;BOG;169;931,2;3939544,0
ABW;BOG;13566;5148,46;21823549,7
ABW;BOG;564;214,05;907325,8
ABW;BOG;377;143,08;606494,7
ABW;BOG;1317;499,82;2118662,0
